SalePrice;YearBuilt;Size(sqf);Floor;N_FacilitiesNearBy(Hospital);N_FacilitiesNearBy(Mall);N_FacilitiesNearBy(ETC);N_SchoolNearBy(University);N_FacilitiesInApt
104867;1978;871;6;2;1 ;0 ;2 ;3
190265;2007;868;4;1;1 ;0 ;2 ;10
182300;1986;1377;7;1;0 ;1 ;1 ;4
75221;1997;644;4;1;1 ;1 ;3 ;5
199115;2009;1160;2;1;0 ;2 ;1 ;5
190265;2006;910;6;1;1 ;1 ;2 ;5
179646;2006;910;1;1;1 ;1 ;2 ;5
200000;2006;914;16;1;1 ;0 ;2 ;5
287610;2006;2056;17;1;1 ;0 ;2 ;5
193805;2007;1103;8;2;2 ;0 ;2 ;4
109734;2005;572;12;2;1 ;5 ;4 ;7
176991;1993;1288;12;2;1 ;5 ;5 ;4
247787;2007;1366;13;2;2 ;0 ;2 ;4
58849;1992;576;9;1;1 ;5 ;5 ;3
39823;1992;355;3;1;1 ;5 ;5 ;3
75920;2005;572;18;2;1 ;5 ;4 ;7
125663;1993;914;16;2;1 ;5 ;5 ;4
57964;1992;576;3;1;1 ;5 ;5 ;3
132743;1993;914;24;2;1 ;5 ;5 ;4
170353;2008;914;23;1;1 ;0 ;2 ;8
85398;1993;644;17;2;1 ;5 ;5 ;4
44247;1992;576;13;1;1 ;5 ;5 ;3
167699;2005;914;8;2;1 ;5 ;4 ;7
130088;1993;914;11;2;1 ;5 ;5 ;4
170796;2008;914;5;1;1 ;0 ;2 ;8
132300;1993;914;15;2;1 ;5 ;5 ;4
188495;2007;868;5;1;1 ;0 ;2 ;10
168141;2006;903;6;1;1 ;2 ;1 ;4
144247;1986;914;7;1;0 ;1 ;1 ;4
178761;2006;910;3;1;1 ;1 ;2 ;5
132743;2006;636;6;1;1 ;1 ;2 ;5
172566;2006;910;3;1;1 ;1 ;2 ;5
53982;1985;587;7;1;1 ;2 ;0 ;3
55752;1986;508;9;1;1 ;1 ;2 ;3
227876;2006;1149;13;1;1 ;0 ;2 ;5
265486;2006;1437;18;1;1 ;0 ;2 ;5
190265;2006;914;8;1;1 ;0 ;2 ;5
169911;2008;914;24;1;1 ;0 ;2 ;8
105309;2005;572;19;2;1 ;5 ;4 ;7
194690;2007;1103;17;2;2 ;0 ;2 ;4
126548;1993;914;11;2;1 ;5 ;5 ;4
95575;1993;644;12;2;1 ;5 ;5 ;4
126548;1993;914;24;2;1 ;5 ;5 ;4
141592;1993;1451;18;2;1 ;5 ;5 ;4
60000;1992;576;12;1;1 ;5 ;5 ;3
107964;2005;572;17;2;1 ;5 ;4 ;7
82300;1992;644;18;1;1 ;1 ;4 ;3
61946;1992;576;12;1;1 ;5 ;5 ;3
84070;1993;644;21;2;1 ;5 ;5 ;4
59292;1992;576;5;1;1 ;5 ;5 ;3
128938;1993;914;5;2;1 ;5 ;5 ;4
145575;2005;743;11;2;1 ;5 ;4 ;7
142035;2005;743;21;2;1 ;5 ;4 ;7
36548;1992;355;14;1;1 ;5 ;5 ;3
109734;2005;572;18;2;1 ;5 ;4 ;7
65929;1992;576;6;1;1 ;5 ;5 ;3
201769;2005;1184;11;2;1 ;5 ;4 ;7
168141;2005;914;21;2;1 ;5 ;4 ;7
75920;2005;572;10;2;1 ;5 ;4 ;7
79646;1992;914;1;1;1 ;1 ;4 ;3
92920;1993;644;16;2;1 ;5 ;5 ;4
79646;1992;644;4;1;1 ;1 ;4 ;3
143362;2005;743;15;2;1 ;5 ;4 ;7
203539;2007;1103;15;2;2 ;0 ;2 ;4
94690;1993;644;9;2;1 ;5 ;5 ;4
113274;1993;914;1;2;1 ;5 ;5 ;4
178761;2008;829;18;1;1 ;0 ;2 ;8
178761;2008;914;3;1;1 ;0 ;2 ;8
95575;1993;644;18;2;1 ;5 ;5 ;4
161946;2005;914;16;2;1 ;5 ;4 ;7
234513;2007;1394;19;2;2 ;0 ;2 ;4
185840;1993;1288;9;2;1 ;5 ;5 ;4
156637;1986;1313;5;1;0 ;1 ;1 ;4
416814;2007;1643;8;1;1 ;0 ;2 ;10
221238;1986;2092;5;1;0 ;1 ;1 ;4
384955;2007;1519;12;1;1 ;0 ;2 ;10
158584;2006;857;8;1;1 ;2 ;1 ;4
362831;2007;1387;37;1;1 ;0 ;2 ;10
223008;1986;1796;1;1;0 ;1 ;1 ;4
212389;2007;868;21;1;1 ;0 ;2 ;10
75221;1997;644;8;1;1 ;1 ;3 ;5
154867;2006;814;20;1;1 ;1 ;2 ;5
153982;2006;814;3;1;1 ;1 ;2 ;5
53097;1986;508;3;1;1 ;1 ;2 ;3
265486;2006;1412;17;1;1 ;0 ;2 ;5
318584;2006;1743;6;1;1 ;0 ;2 ;5
380530;2006;2056;22;1;1 ;0 ;2 ;5
54867;1992;640;9;1;1 ;5 ;5 ;3
80973;1992;644;11;1;1 ;1 ;4 ;3
172566;2005;914;15;2;1 ;5 ;4 ;7
143805;2005;743;15;2;1 ;5 ;4 ;7
186725;2005;1184;14;2;1 ;5 ;4 ;7
173008;1993;1451;5;2;1 ;5 ;5 ;4
79646;1993;644;2;2;1 ;5 ;5 ;4
146460;2005;743;10;2;1 ;5 ;4 ;7
182300;2007;914;26;2;2 ;0 ;2 ;4
130088;1993;914;12;2;1 ;5 ;5 ;4
190265;1993;2337;10;2;1 ;5 ;5 ;4
129203;1993;914;12;2;1 ;5 ;5 ;4
172566;2008;914;24;1;1 ;0 ;2 ;8
171681;2006;903;15;1;1 ;2 ;1 ;4
353982;2007;1643;26;1;1 ;0 ;2 ;10
162831;2009;910;3;1;0 ;2 ;1 ;5
157522;2009;910;14;1;0 ;2 ;1 ;5
173451;2009;910;10;1;0 ;2 ;1 ;5
159292;2009;910;19;1;0 ;2 ;1 ;5
170796;2006;811;15;1;1 ;1 ;2 ;5
172123;2006;811;18;1;1 ;1 ;2 ;5
216814;2006;910;12;1;1 ;1 ;2 ;5
143805;2006;636;18;1;1 ;1 ;2 ;5
162831;2006;814;8;1;1 ;1 ;2 ;5
175221;2006;811;14;1;1 ;1 ;2 ;5
97345;2006;636;1;1;1 ;1 ;2 ;5
165486;2006;814;17;1;1 ;1 ;2 ;5
179646;2006;910;2;1;1 ;1 ;2 ;5
181415;2006;910;15;1;1 ;1 ;2 ;5
180530;2006;910;5;1;1 ;1 ;2 ;5
150442;2006;814;2;1;1 ;1 ;2 ;5
383185;2007;1483;11;1;1 ;0 ;1 ;5
370796;2007;1483;17;1;1 ;0 ;1 ;5
462831;2007;1690;21;1;1 ;0 ;1 ;5
382300;2007;1483;25;1;1 ;0 ;1 ;5
371681;2007;1483;7;1;1 ;0 ;1 ;5
448672;2007;1690;16;1;1 ;0 ;1 ;5
360176;2007;1483;9;1;1 ;0 ;1 ;5
382300;2007;1483;21;1;1 ;0 ;1 ;5
435398;2007;1690;8;1;1 ;0 ;1 ;5
371681;2007;1483;8;1;1 ;0 ;1 ;5
94690;1986;910;12;1;1 ;1 ;2 ;3
256637;2006;1743;7;1;1 ;0 ;2 ;5
186725;2006;914;4;1;1 ;0 ;2 ;5
92035;1993;644;8;2;1 ;5 ;5 ;4
90265;1993;644;21;2;1 ;5 ;5 ;4
214159;2008;1167;4;1;1 ;0 ;2 ;8
49557;1992;576;13;1;1 ;5 ;5 ;3
188053;1993;2337;15;2;1 ;5 ;5 ;4
60176;1992;576;2;1;1 ;5 ;5 ;3
130973;1993;914;8;2;1 ;5 ;5 ;4
43185;1992;355;13;1;1 ;5 ;5 ;3
110619;2005;572;13;2;1 ;5 ;4 ;7
196460;2007;1103;26;2;2 ;0 ;2 ;4
65486;1992;640;11;1;1 ;5 ;5 ;3
169026;2005;914;20;2;1 ;5 ;4 ;7
85840;1993;644;15;2;1 ;5 ;5 ;4
85840;1993;644;9;2;1 ;5 ;5 ;4
177876;2008;914;3;1;1 ;0 ;2 ;8
178761;2008;914;12;1;1 ;0 ;2 ;8
185840;1993;2337;8;2;1 ;5 ;5 ;4
155584;2005;914;2;2;1 ;5 ;4 ;7
209734;2007;1103;8;2;2 ;0 ;2 ;4
221238;2008;1167;17;1;1 ;0 ;2 ;8
161946;2008;829;16;1;1 ;0 ;2 ;8
165929;2005;914;23;2;1 ;5 ;4 ;7
141592;2005;743;20;2;1 ;5 ;4 ;7
130973;1993;914;10;2;1 ;5 ;5 ;4
91592;1993;644;4;2;1 ;5 ;5 ;4
146017;2005;743;16;2;1 ;5 ;4 ;7
243362;2007;1366;21;2;2 ;0 ;2 ;4
166814;2005;914;5;2;1 ;5 ;4 ;7
141592;2005;743;13;2;1 ;5 ;4 ;7
176991;2008;914;9;1;1 ;0 ;2 ;8
115044;1992;914;9;1;1 ;1 ;4 ;3
100884;1993;644;11;2;1 ;5 ;5 ;4
163716;2005;914;9;2;1 ;5 ;4 ;7
210619;2007;1103;14;2;2 ;0 ;2 ;4
82300;1992;644;12;1;1 ;1 ;4 ;3
153539;2005;914;3;2;1 ;5 ;4 ;7
103097;2005;572;2;2;1 ;5 ;4 ;7
161946;2008;829;4;1;1 ;0 ;2 ;8
83628;1993;644;2;2;1 ;5 ;5 ;4
184070;2007;868;3;1;1 ;0 ;2 ;10
148672;1986;1313;4;1;0 ;1 ;1 ;4
262831;1986;1796;8;1;0 ;1 ;1 ;4
126548;1986;914;7;1;0 ;1 ;1 ;4
229203;2007;868;15;1;1 ;0 ;2 ;10
185840;2006;903;14;1;1 ;2 ;1 ;4
196460;2007;868;8;1;1 ;0 ;2 ;10
238938;2007;868;18;1;1 ;0 ;2 ;10
76548;1997;644;4;1;1 ;1 ;3 ;5
75221;1997;644;10;1;1 ;1 ;3 ;5
149557;2006;636;9;1;1 ;1 ;2 ;5
191150;2006;910;11;1;1 ;1 ;2 ;5
199115;2006;910;19;1;1 ;1 ;2 ;5
183185;2006;910;6;1;1 ;1 ;2 ;5
191150;2006;910;9;1;1 ;1 ;2 ;5
408849;2007;1690;3;1;1 ;0 ;1 ;5
368141;2007;1334;27;1;1 ;0 ;1 ;5
383185;2007;1483;12;1;1 ;0 ;1 ;5
383185;2007;1483;14;1;1 ;0 ;1 ;5
422123;2007;1690;5;1;1 ;0 ;1 ;5
383185;2007;1483;13;1;1 ;0 ;1 ;5
348672;2007;1483;4;1;1 ;0 ;1 ;5
370796;2007;1483;16;1;1 ;0 ;1 ;5
422123;2007;1690;5;1;1 ;0 ;1 ;5
57522;1986;508;3;1;1 ;1 ;2 ;3
97345;1986;793;16;1;1 ;1 ;2 ;3
65929;1986;508;7;1;1 ;1 ;2 ;3
194690;2006;914;25;1;1 ;0 ;2 ;5
238053;2006;1412;4;1;1 ;0 ;2 ;5
258407;2006;1437;5;1;1 ;0 ;2 ;5
176991;2008;914;3;1;1 ;0 ;2 ;8
128318;1993;914;5;2;1 ;5 ;5 ;4
130973;2005;743;6;2;1 ;5 ;4 ;7
141592;2005;743;11;2;1 ;5 ;4 ;7
200884;2005;1184;11;2;1 ;5 ;4 ;7
179646;2008;914;5;1;1 ;0 ;2 ;8
132743;1993;914;6;2;1 ;5 ;5 ;4
82300;1993;644;6;2;1 ;5 ;5 ;4
236283;2007;1394;13;2;2 ;0 ;2 ;4
170796;2005;914;23;2;1 ;5 ;4 ;7
238938;2007;1394;18;2;2 ;0 ;2 ;4
168141;2005;914;20;2;1 ;5 ;4 ;7
84070;1992;644;6;1;1 ;1 ;4 ;3
95575;1993;644;13;2;1 ;5 ;5 ;4
230088;2007;1394;8;2;2 ;0 ;2 ;4
132300;1993;914;24;2;1 ;5 ;5 ;4
38495;1992;355;13;1;1 ;5 ;5 ;3
88495;1992;644;14;1;1 ;1 ;4 ;3
277876;2007;1366;3;2;2 ;0 ;2 ;4
94690;1993;644;14;2;1 ;5 ;5 ;4
112566;2005;572;8;2;1 ;5 ;4 ;7
37610;1992;355;2;1;1 ;5 ;5 ;3
61946;1992;576;2;1;1 ;5 ;5 ;3
172566;2005;914;22;2;1 ;5 ;4 ;7
170796;2005;914;15;2;1 ;5 ;4 ;7
212389;2008;914;10;1;1 ;0 ;2 ;8
61681;1992;576;11;1;1 ;5 ;5 ;3
113716;2005;572;3;2;1 ;5 ;4 ;7
221238;2007;1366;21;2;2 ;0 ;2 ;4
240707;2007;868;19;1;1 ;0 ;2 ;10
242477;2007;868;17;1;1 ;0 ;2 ;10
176991;1986;1377;6;1;0 ;1 ;1 ;4
233628;2007;868;21;1;1 ;0 ;2 ;10
221238;2007;868;10;1;1 ;0 ;2 ;10
104424;1978;871;6;2;1 ;0 ;2 ;3
346017;2007;1387;24;1;1 ;0 ;2 ;10
163716;2006;814;15;1;1 ;1 ;2 ;5
198849;2006;910;11;1;1 ;1 ;2 ;5
64601;1985;676;10;1;1 ;2 ;0 ;3
371681;2007;1483;6;1;1 ;0 ;1 ;5
360176;2007;1690;10;1;1 ;0 ;1 ;5
370796;2007;1483;13;1;1 ;0 ;1 ;5
405309;2007;1483;26;1;1 ;0 ;1 ;5
370796;2007;1483;15;1;1 ;0 ;1 ;5
383185;2007;1483;18;1;1 ;0 ;1 ;5
382300;2007;1483;23;1;1 ;0 ;1 ;5
65929;1986;508;7;1;1 ;1 ;2 ;3
199115;2006;914;24;1;1 ;0 ;2 ;5
189823;2006;914;10;1;1 ;0 ;2 ;5
314159;2006;2056;15;1;1 ;0 ;2 ;5
83185;1992;644;9;1;1 ;1 ;4 ;3
142477;2005;743;15;2;1 ;5 ;4 ;7
92920;1993;644;3;2;1 ;5 ;5 ;4
132743;1993;914;16;2;1 ;5 ;5 ;4
63893;1992;576;11;1;1 ;5 ;5 ;3
108407;1992;914;3;1;1 ;1 ;4 ;3
175221;2005;914;1;2;1 ;5 ;4 ;7
92920;1993;644;19;2;1 ;5 ;5 ;4
63716;1992;576;14;1;1 ;5 ;5 ;3
168141;2008;829;4;1;1 ;0 ;2 ;8
243362;2007;1366;4;2;2 ;0 ;2 ;4
146460;2005;743;17;2;1 ;5 ;4 ;7
62389;1992;576;13;1;1 ;5 ;5 ;3
181415;2008;914;18;1;1 ;0 ;2 ;8
168141;1993;1761;7;2;1 ;5 ;5 ;4
34513;1992;355;2;1;1 ;5 ;5 ;3
41061;1992;355;14;1;1 ;5 ;5 ;3
142035;2005;743;12;2;1 ;5 ;4 ;7
97345;1993;644;17;2;1 ;5 ;5 ;4
132743;1993;914;5;2;1 ;5 ;5 ;4
245575;2007;1394;26;2;2 ;0 ;2 ;4
221238;2008;1167;15;1;1 ;0 ;2 ;8
167256;2005;914;19;2;1 ;5 ;4 ;7
167699;2005;914;6;2;1 ;5 ;4 ;7
176991;2008;829;6;1;1 ;0 ;2 ;8
73840;2005;572;19;2;1 ;5 ;4 ;7
228318;2007;1103;21;2;2 ;0 ;2 ;4
135398;1993;914;6;2;1 ;5 ;5 ;4
119469;1978;903;5;2;1 ;0 ;2 ;3
159292;2006;903;4;1;1 ;2 ;1 ;4
228318;2007;868;19;1;1 ;0 ;2 ;10
207964;2007;868;4;1;1 ;0 ;2 ;10
218584;2007;868;11;1;1 ;0 ;2 ;10
206194;2007;868;12;1;1 ;0 ;2 ;10
190265;2007;868;5;1;1 ;0 ;2 ;10
215044;2007;868;18;1;1 ;0 ;2 ;10
112389;1978;903;12;2;1 ;0 ;2 ;3
230088;2007;868;17;1;1 ;0 ;2 ;10
234513;2007;868;22;1;1 ;0 ;2 ;10
75221;1997;644;11;1;1 ;1 ;3 ;5
74778;1997;644;12;1;1 ;1 ;3 ;5
76106;1997;644;7;1;1 ;1 ;3 ;5
66814;1997;558;8;1;1 ;1 ;3 ;5
128318;1997;914;10;1;1 ;1 ;3 ;5
90707;1997;914;1;1;1 ;1 ;3 ;5
76991;1980;910;2;1;1 ;5 ;5 ;9
199115;2006;910;13;1;1 ;1 ;2 ;5
201769;2006;910;20;1;1 ;1 ;2 ;5
181415;2006;811;19;1;1 ;1 ;2 ;5
192920;2006;910;13;1;1 ;1 ;2 ;5
435398;2007;1690;6;1;1 ;0 ;1 ;5
393805;2007;1483;25;1;1 ;0 ;1 ;5
448672;2007;1690;10;1;1 ;0 ;1 ;5
383185;2007;1444;11;1;1 ;0 ;1 ;5
383185;2007;1483;14;1;1 ;0 ;1 ;5
393805;2007;1483;21;1;1 ;0 ;1 ;5
394690;2007;1444;24;1;1 ;0 ;1 ;5
394690;2007;1444;21;1;1 ;0 ;1 ;5
406194;2007;1444;28;1;1 ;0 ;1 ;5
382300;2007;1483;22;1;1 ;0 ;1 ;5
419469;2007;1629;6;1;1 ;0 ;1 ;5
370796;2007;1483;12;1;1 ;0 ;1 ;5
360176;2007;1483;7;1;1 ;0 ;1 ;5
394690;2007;1444;22;1;1 ;0 ;1 ;5
393805;2007;1483;23;1;1 ;0 ;1 ;5
370796;2007;1483;11;1;1 ;0 ;1 ;5
360176;2007;1483;4;1;1 ;0 ;1 ;5
393805;2007;1483;20;1;1 ;0 ;1 ;5
59911;1986;508;11;1;1 ;1 ;2 ;3
278761;2006;1412;30;1;1 ;0 ;2 ;5
186725;2006;914;13;1;1 ;0 ;2 ;5
115044;1992;1448;13;1;1 ;1 ;4 ;3
223008;2007;1103;18;2;2 ;0 ;2 ;4
185840;2008;914;25;1;1 ;0 ;2 ;8
92035;1993;644;19;2;1 ;5 ;5 ;4
38053;1992;355;1;1;1 ;5 ;5 ;3
176991;2008;914;6;1;1 ;0 ;2 ;8
215929;2007;1103;16;2;2 ;0 ;2 ;4
145132;2005;743;17;2;1 ;5 ;4 ;7
171681;2005;914;19;2;1 ;5 ;4 ;7
214601;2007;1103;5;2;2 ;0 ;2 ;4
167256;2005;914;13;2;1 ;5 ;4 ;7
271681;2007;1366;11;2;2 ;0 ;2 ;4
171681;2005;914;10;2;1 ;5 ;4 ;7
40088;1992;355;4;1;1 ;5 ;5 ;3
143805;2005;743;5;2;1 ;5 ;4 ;7
83185;1993;644;2;2;1 ;5 ;5 ;4
199115;2005;1184;7;2;1 ;5 ;4 ;7
219469;2005;1184;10;2;1 ;5 ;4 ;7
171681;2005;914;21;2;1 ;5 ;4 ;7
130088;1993;914;13;2;1 ;5 ;5 ;4
142477;2005;743;16;2;1 ;5 ;4 ;7
169026;2005;914;18;2;1 ;5 ;4 ;7
163716;2008;829;2;1;1 ;0 ;2 ;8
92920;1993;644;4;2;1 ;5 ;5 ;4
113274;2005;572;8;2;1 ;5 ;4 ;7
175221;2005;914;16;2;1 ;5 ;4 ;7
91150;1993;644;14;2;1 ;5 ;5 ;4
135398;1993;914;15;2;1 ;5 ;5 ;4
43362;1992;355;11;1;1 ;5 ;5 ;3
84070;1993;644;1;2;1 ;5 ;5 ;4
86725;1992;644;7;1;1 ;1 ;4 ;3
136283;1986;914;12;1;0 ;1 ;1 ;4
154424;1986;1131;6;1;0 ;1 ;1 ;4
215929;2007;868;17;1;1 ;0 ;2 ;10
159292;2006;903;12;1;1 ;2 ;1 ;4
168141;1986;1131;7;1;0 ;1 ;1 ;4
205752;2007;868;15;1;1 ;0 ;2 ;10
141592;1986;914;7;1;0 ;1 ;1 ;4
154867;1986;1131;3;1;0 ;1 ;1 ;4
161946;1986;1131;8;1;0 ;1 ;1 ;4
194690;1986;1377;11;1;0 ;1 ;1 ;4
345132;2007;1519;11;1;1 ;0 ;2 ;10
172566;2009;910;20;1;0 ;2 ;1 ;5
178761;2009;914;15;1;0 ;2 ;1 ;5
194690;2006;910;5;1;1 ;1 ;2 ;5
60176;1985;587;7;1;1 ;2 ;0 ;3
458407;2007;1629;26;1;1 ;0 ;1 ;5
368141;2007;1334;28;1;1 ;0 ;1 ;5
422123;2007;1690;5;1;1 ;0 ;1 ;5
432743;2007;1629;19;1;1 ;0 ;1 ;5
370796;2007;1483;10;1;1 ;0 ;1 ;5
383185;2007;1483;15;1;1 ;0 ;1 ;5
393805;2007;1483;21;1;1 ;0 ;1 ;5
422123;2007;1690;4;1;1 ;0 ;1 ;5
383185;2007;1483;14;1;1 ;0 ;1 ;5
432743;2007;1629;15;1;1 ;0 ;1 ;5
407079;2007;1629;4;1;1 ;0 ;1 ;5
176991;2006;818;3;1;1 ;0 ;2 ;5
171681;2006;818;22;1;1 ;0 ;2 ;5
203539;2006;914;6;1;1 ;0 ;2 ;5
202654;2005;1184;6;2;1 ;5 ;4 ;7
137168;1992;1448;2;1;1 ;1 ;4 ;3
178761;2008;914;20;1;1 ;0 ;2 ;8
96902;1993;644;7;2;1 ;5 ;5 ;4
138495;1993;914;16;2;1 ;5 ;5 ;4
139823;2005;743;1;2;1 ;5 ;4 ;7
185840;1993;1761;3;2;1 ;5 ;5 ;4
140707;2005;743;2;2;1 ;5 ;4 ;7
82300;1993;644;8;2;1 ;5 ;5 ;4
135398;1993;914;19;2;1 ;5 ;5 ;4
177876;2008;914;4;1;1 ;0 ;2 ;8
65486;1992;576;6;1;1 ;5 ;5 ;3
172566;2005;914;11;2;1 ;5 ;4 ;7
39823;1992;355;13;1;1 ;5 ;5 ;3
197345;2007;1103;3;2;2 ;0 ;2 ;4
97345;1993;644;7;2;1 ;5 ;5 ;4
148230;2005;743;16;2;1 ;5 ;4 ;7
185840;2005;1184;3;2;1 ;5 ;4 ;7
136725;2005;743;1;2;1 ;5 ;4 ;7
169026;2005;914;18;2;1 ;5 ;4 ;7
242477;2008;1167;10;1;1 ;0 ;2 ;8
108849;1992;914;1;1;1 ;1 ;4 ;3
210619;2005;1184;13;2;1 ;5 ;4 ;7
115044;1993;914;12;2;1 ;5 ;5 ;4
74778;1992;640;9;1;1 ;5 ;5 ;3
175221;2005;914;22;2;1 ;5 ;4 ;7
105309;1993;644;20;2;1 ;5 ;5 ;4
181415;1993;1761;14;2;1 ;5 ;5 ;4
234513;2008;1167;8;1;1 ;0 ;2 ;8
88495;1992;644;19;1;1 ;1 ;4 ;3
115044;1992;1448;5;1;1 ;1 ;4 ;3
166371;2005;914;13;2;1 ;5 ;4 ;7
178761;2008;914;7;1;1 ;0 ;2 ;8
161061;1986;1131;8;1;0 ;1 ;1 ;4
181415;2006;903;12;1;1 ;2 ;1 ;4
353982;2007;1387;37;1;1 ;0 ;2 ;10
237168;2007;868;12;1;1 ;0 ;2 ;10
238053;2007;868;23;1;1 ;0 ;2 ;10
210619;2007;868;12;1;1 ;0 ;2 ;10
216814;2007;868;17;1;1 ;0 ;2 ;10
185398;2006;903;15;1;1 ;2 ;1 ;4
158407;2006;903;3;1;1 ;2 ;1 ;4
66371;1997;558;6;1;1 ;1 ;3 ;5
69911;1997;558;11;1;1 ;1 ;3 ;5
70796;1997;558;10;1;1 ;1 ;3 ;5
77433;1997;644;10;1;1 ;1 ;3 ;5
174778;2009;910;5;1;0 ;2 ;1 ;5
159292;2009;910;15;1;0 ;2 ;1 ;5
180530;2009;910;7;1;0 ;2 ;1 ;5
167256;2006;811;3;1;1 ;1 ;2 ;5
203539;2006;910;18;1;1 ;1 ;2 ;5
177699;2006;811;12;1;1 ;1 ;2 ;5
446017;2007;1629;21;1;1 ;0 ;1 ;5
446017;2007;1629;25;1;1 ;0 ;1 ;5
446017;2007;1629;20;1;1 ;0 ;1 ;5
446017;2007;1629;24;1;1 ;0 ;1 ;5
432743;2007;1629;11;1;1 ;0 ;1 ;5
448672;2007;1690;12;1;1 ;0 ;1 ;5
448672;2007;1690;11;1;1 ;0 ;1 ;5
446017;2007;1629;23;1;1 ;0 ;1 ;5
435398;2007;1690;6;1;1 ;0 ;1 ;5
419469;2007;1629;7;1;1 ;0 ;1 ;5
393805;2007;1483;20;1;1 ;0 ;1 ;5
392920;2007;1483;26;1;1 ;0 ;1 ;5
393805;2007;1483;24;1;1 ;0 ;1 ;5
422123;2007;1690;4;1;1 ;0 ;1 ;5
422123;2007;1690;4;1;1 ;0 ;1 ;5
55752;1986;508;5;1;1 ;1 ;2 ;3
56637;1986;508;7;1;1 ;1 ;2 ;3
252212;2006;1412;12;1;1 ;0 ;2 ;5
238938;2006;1149;16;1;1 ;0 ;2 ;5
238938;2006;1743;8;1;1 ;0 ;2 ;5
219469;2005;1184;10;2;1 ;5 ;4 ;7
175221;2005;914;11;2;1 ;5 ;4 ;7
97345;2005;572;10;2;1 ;5 ;4 ;7
176991;1993;1451;9;2;1 ;5 ;5 ;4
194690;2007;914;13;2;2 ;0 ;2 ;4
96460;1993;644;12;2;1 ;5 ;5 ;4
185840;2007;914;3;2;2 ;0 ;2 ;4
171681;2005;914;13;2;1 ;5 ;4 ;7
89380;1992;644;12;1;1 ;1 ;4 ;3
143362;1993;914;7;2;1 ;5 ;5 ;4
39823;1992;355;11;1;1 ;5 ;5 ;3
119469;1992;914;16;1;1 ;1 ;4 ;3
168141;2005;914;22;2;1 ;5 ;4 ;7
97345;1993;644;10;2;1 ;5 ;5 ;4
250442;2007;1419;7;2;2 ;0 ;2 ;4
169292;2005;914;11;2;1 ;5 ;4 ;7
84513;1993;644;1;2;1 ;5 ;5 ;4
115929;2005;572;4;2;1 ;5 ;4 ;7
123008;1992;914;7;1;1 ;1 ;4 ;3
216371;2007;1103;5;2;2 ;0 ;2 ;4
194690;2005;1184;21;2;1 ;5 ;4 ;7
184070;2005;914;14;2;1 ;5 ;4 ;7
165486;2005;914;2;2;1 ;5 ;4 ;7
88495;1992;644;17;1;1 ;1 ;4 ;3
100000;1993;644;13;2;1 ;5 ;5 ;4
115044;2005;572;20;2;1 ;5 ;4 ;7
115044;2005;572;4;2;1 ;5 ;4 ;7
145132;2005;743;9;2;1 ;5 ;4 ;7
148672;1986;1131;3;1;0 ;1 ;1 ;4
176991;1986;1131;5;1;0 ;1 ;1 ;4
230088;2007;868;20;1;1 ;0 ;2 ;10
212389;2007;868;15;1;1 ;0 ;2 ;10
207079;2007;868;5;1;1 ;0 ;2 ;10
206194;2007;868;22;1;1 ;0 ;2 ;10
168141;1986;1313;5;1;0 ;1 ;1 ;4
163716;2006;903;8;1;1 ;2 ;1 ;4
127876;1986;914;3;1;0 ;1 ;1 ;4
145132;1986;914;12;1;0 ;1 ;1 ;4
129203;1997;914;10;1;1 ;1 ;3 ;5
176106;2009;910;9;1;0 ;2 ;1 ;5
143805;2006;636;3;1;1 ;1 ;2 ;5
117699;2003;907;3;1;1 ;1 ;3 ;5
170353;2006;814;7;1;1 ;1 ;2 ;5
393805;2007;1483;22;1;1 ;0 ;1 ;5
393805;2007;1483;24;1;1 ;0 ;1 ;5
393805;2007;1629;3;1;1 ;0 ;1 ;5
205309;2006;914;11;1;1 ;0 ;2 ;5
189380;2006;914;5;1;1 ;0 ;2 ;5
200000;2006;914;7;1;1 ;0 ;2 ;5
95575;1993;644;1;2;1 ;5 ;5 ;4
80088;1992;640;6;1;1 ;5 ;5 ;3
197345;2008;829;17;1;1 ;0 ;2 ;8
99115;1993;644;7;2;1 ;5 ;5 ;4
171681;2005;914;24;2;1 ;5 ;4 ;7
143805;1993;914;9;2;1 ;5 ;5 ;4
119469;2005;572;16;2;1 ;5 ;4 ;7
236283;2007;1103;30;2;2 ;0 ;2 ;4
171238;2005;914;9;2;1 ;5 ;4 ;7
170796;2005;914;16;2;1 ;5 ;4 ;7
137168;1992;1448;3;1;1 ;1 ;4 ;3
283185;2007;1394;10;2;2 ;0 ;2 ;4
180088;2005;914;23;2;1 ;5 ;4 ;7
227433;1993;2337;13;2;1 ;5 ;5 ;4
230088;2007;1394;8;2;2 ;0 ;2 ;4
171681;2005;914;8;2;1 ;5 ;4 ;7
109734;2005;572;1;2;1 ;5 ;4 ;7
69469;1992;576;13;1;1 ;5 ;5 ;3
168141;2008;829;8;1;1 ;0 ;2 ;8
39823;1992;355;1;1;1 ;5 ;5 ;3
153097;2005;743;9;2;1 ;5 ;4 ;7
185840;2005;914;9;2;1 ;5 ;4 ;7
66371;1992;576;5;1;1 ;5 ;5 ;3
205309;1993;1761;15;2;1 ;5 ;5 ;4
202654;1993;2337;16;2;1 ;5 ;5 ;4
169911;2005;914;7;2;1 ;5 ;4 ;7
